CampaignID,Date,Channel,Product,State,ManagerCompany,AdSpend,Impressions,Clicks,CTR,CPC,Leads,Sales,Revenue,ROAS,CAC,Objective,Status,Rating,Manager
1,2025-03-30,YouTube,Product B,KA,Accenture,100089,126131,605,0.005,42,105,31,305319,3.05,953.23,Awareness,Active,4,Diya
2,2025-09-29,YouTube,Product A,TN,Deloitte,126647,145152,6264,0.043,91,1032,309,2324607,18.36,122.72,Awareness,Paused,4,Vivaan
3,2025-12-31,Meta,Product D,TN,TCS,81971,49041,3652,0.074,78,579,173,530245,6.47,141.57,Lead Gen,Paused,4,Aarav
4,2025-09-22,LinkedIn,Product D,TN,Deloitte,120078,23081,9736,0.422,37,649,194,322622,2.69,185.02,Lead Gen,Active,4,Priya
5,2025-12-10,LinkedIn,Product D,TS,Deloitte,23204,163282,12567,0.077,52,1270,381,2659380,114.61,18.27,Lead Gen,Paused,4,Diya
6,2025-12-08,YouTube,Product A,TS,HDFC,121993,171629,13894,0.081,28,1259,377,3160014,25.9,96.9,Awareness,Paused,2,Ananya
7,2025-10-01,Google,Product B,WB,Reliance,101801,5616,7788,1.387,83,1048,314,2232854,21.93,97.14,Lead Gen,Paused,2,Yash
8,2025-03-26,Google,Product A,MH,Accenture,29911,73533,8082,0.11,99,1524,457,3267550,109.24,19.63,Lead Gen,Active,5,Dev
9,2025-10-16,LinkedIn,Product B,KA,HDFC,50092,85048,1608,0.019,10,203,60,480000,9.58,246.76,Sales,Active,1,Ananya
10,2025-09-14,Google,Product D,TS,Accenture,35122,121286,2313,0.019,100,389,116,738920,21.04,90.29,Awareness,Paused,1,Dev
11,2025-04-27,YouTube,Product D,TN,HDFC,7831,26515,9242,0.349,18,1018,305,2308545,294.8,7.69,Sales,Paused,2,Aditya
12,2025-01-18,Google,Product C,MH,Reliance,114133,9197,11795,1.282,55,652,195,853515,7.48,175.05,Sales,Paused,5,Kabir
13,2025-05-15,LinkedIn,Product A,KA,Infosys,76066,139511,8201,0.059,56,1605,481,563251,7.4,47.39,Sales,Active,4,Neha
14,2025-10-02,Meta,Product C,KA,Infosys,140388,15910,1477,0.093,87,253,75,133950,0.95,554.89,Awareness,Paused,3,Rahul
15,2025-08-01,LinkedIn,Product D,MH,Amazon,133871,102592,1839,0.018,9,97,29,276370,2.06,1380.11,Sales,Paused,1,Dev
16,2025-08-15,Meta,Product A,TS,Amazon,20697,64707,2679,0.041,76,137,41,166050,8.02,151.07,Lead Gen,Active,1,Ananya
17,2025-12-05,Email,Product C,TN,Amazon,137883,133762,895,0.007,55,145,43,65661,0.48,950.92,Awareness,Active,1,Nisha
18,2025-05-22,LinkedIn,Product B,WB,Deloitte,25153,49668,11728,0.236,78,708,212,622644,24.75,35.53,Lead Gen,Active,3,Ananya
19,2025-02-13,YouTube,Product A,MH,Infosys,112822,55350,10523,0.19,6,2000,600,4833000,42.84,56.41,Lead Gen,Paused,3,Karan
20,2025-02-05,Google,Product A,TS,TCS,100344,106861,2009,0.019,76,115,34,62560,0.62,872.56,Sales,Active,2,Neha
21,2025-12-29,Email,Product C,KA,Deloitte,59607,167421,10114,0.06,17,692,207,558486,9.37,86.14,Awareness,Active,5,Ananya
22,2025-02-17,Meta,Product D,DL,HDFC,80968,66299,2454,0.037,23,314,94,101708,1.26,257.86,Sales,Paused,3,Yash
